Dairy and Egg Products,Weight,Measure,Protein,Sugars,Fat,Carbohydrate,Calcium,Energy,Water
"Cream, whipped, cream topping, pressurized",60.0,1.0 cup,61.33 g,101.0 mg,3.2 g,8.0 g,22.22 g,12.49 g,257.0 kcal
"Dessert topping, powdered",43.0,1.5 oz,1.47 g,17.0 mg,4.9 g,-- g,39.92 g,52.54 g,577.0 kcal
"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",80.0,1.0 cup,65.74 g,90.0 mg,3.61 g,-- g,12.72 g,17.13 g,194.0 kcal
"Dessert topping, pressurized",70.0,1.0 cup,60.37 g,5.0 mg,0.98 g,-- g,22.3 g,16.07 g,264.0 kcal
"Dessert topping, semi solid, frozen",75.0,1.0 cup,50.21 g,6.0 mg,1.25 g,-- g,25.31 g,23.05 g,318.0 kcal
Dulce de Leche,19.0,1.0 tbsp,28.71 g,251.0 mg,6.84 g,49.74 g,7.35 g,55.35 g,315.0 kcal
"Egg Mix, USDA Commodity",8.6,1.0 tbsp,2.78 g,171.0 mg,35.6 g,2.46 g,34.5 g,23.97 g,555.0 kcal
"Egg substitute, liquid or frozen, fat free",60.0,0.25 cup,87.0 g,73.0 mg,10.0 g,-- g,0.0 g,2.0 g,48.0 kcal
"Egg substitute, powder",9.9,0.35 oz,3.86 g,326.0 mg,55.5 g,-- g,13.0 g,21.8 g,444.0 kcal
"Egg, duck, whole, fresh, raw",70.0,1.0 egg,70.83 g,64.0 mg,12.81 g,0.93 g,13.77 g,1.45 g,185.0 kcal
"Egg, goose, whole, fresh, raw",144.0,1.0 egg,70.43 g,60.0 mg,13.87 g,0.94 g,13.27 g,1.35 g,185.0 kcal
"Egg, quail, whole, fresh, raw",9.0,1.0 egg,74.35 g,64.0 mg,13.05 g,0.4 g,11.09 g,0.41 g,158.0 kcal
"Egg, turkey, whole, fresh, raw",79.0,1.0 egg,72.5 g,99.0 mg,13.68 g,-- g,11.88 g,1.15 g,171.0 kcal
"Egg, white, dried",28.0,1.0 oz,5.8 g,62.0 mg,81.1 g,5.4 g,0.0 g,7.8 g,382.0 kcal
"Egg, white, dried, flakes, stabilized, glucose reduced",28.35,1.0 oz,14.62 g,83.0 mg,76.92 g,0.0 g,0.04 g,4.17 g,351.0 kcal
"Egg, white, dried, powder, stabilized, glucose reduced",107.0,"1.0 cup, sifted",8.54 g,89.0 mg,82.4 g,0.0 g,0.04 g,4.47 g,376.0 kcal
"Egg, white, dried, stabilized, glucose reduced",107.0,"1.0 cup, sifted",5.48 g,101.0 mg,84.08 g,0.0 g,0.32 g,4.51 g,357.0 kcal
"Egg, white, raw, fresh",33.0,1.0 large,87.57 g,7.0 mg,10.9 g,0.71 g,0.17 g,0.73 g,52.0 kcal
"Egg, white, raw, frozen, pasteurized",28.0,1.0 oz,88.17 g,8.0 mg,10.2 g,0.25 g,0.0 g,1.04 g,48.0 kcal
"Egg, whole, cooked, fried",46.0,1.0 large,69.47 g,62.0 mg,13.61 g,0.4 g,14.84 g,0.83 g,196.0 kcal
"Egg, whole, cooked, hard-boiled",136.0,"1.0 cup, chopped",74.62 g,50.0 mg,12.58 g,-- g,10.61 g,1.12 g,155.0 kcal
"Egg, whole, cooked, omelet",15.0,1.0 tbsp,76.13 g,48.0 mg,10.57 g,0.31 g,11.66 g,0.64 g,154.0 kcal
"Egg, whole, cooked, poached",50.0,1.0 large,75.85 g,56.0 mg,12.51 g,0.37 g,9.47 g,0.71 g,143.0 kcal
"Egg, whole, cooked, scrambled",61.0,1.0 large,76.4 g,66.0 mg,9.99 g,1.39 g,10.98 g,1.61 g,149.0 kcal
"Egg, whole, dried",85.0,"1.0 cup, sifted",2.78 g,244.0 mg,48.05 g,0.56 g,43.9 g,1.13 g,592.0 kcal
"Egg, whole, dried, stabilized, glucose reduced",85.0,"1.0 cup, sifted",1.87 g,222.0 mg,48.17 g,-- g,43.95 g,2.38 g,615.0 kcal
"Egg, whole, raw, fresh",50.0,1.0 large,76.15 g,56.0 mg,12.56 g,0.37 g,9.51 g,0.72 g,143.0 kcal
"Egg, whole, raw, frozen, pasteurized",28.0,1.0 oz,75.81 g,62.0 mg,12.33 g,0.25 g,9.95 g,1.01 g,147.0 kcal
"Egg, whole, raw, frozen, salted, pasteurized",28.0,1.0 oz,67.83 g,55.0 mg,10.97 g,0.07 g,10.07 g,0.83 g,138.0 kcal
"Egg, yolk, dried",67.0,"1.0 cup, sifted",3.08 g,289.0 mg,33.63 g,0.23 g,59.13 g,0.66 g,669.0 kcal
"Egg, yolk, raw, fresh",17.0,1.0 large,52.31 g,129.0 mg,15.86 g,0.56 g,26.54 g,3.59 g,322.0 kcal
"Egg, yolk, raw, frozen, pasteurized",28.35,1.0 oz,56.44 g,134.0 mg,15.53 g,0.16 g,25.6 g,0.81 g,296.0 kcal
"Egg, yolk, raw, frozen, salted, pasteurized",28.35,1.0 oz,50.87 g,113.0 mg,14.07 g,0.07 g,22.93 g,1.77 g,275.0 kcal
"Egg, yolk, raw, frozen, sugared, pasteurized",28.35,1.0 oz,51.23 g,124.0 mg,13.87 g,10.3 g,22.82 g,10.95 g,307.0 kcal
Eggnog,254.0,1.0 cup,82.54 g,130.0 mg,4.55 g,-- g,4.19 g,8.05 g,88.0 kcal
"Eggs, scrambled, frozen mixture",28.35,1.0 oz,72.7 g,17.0 mg,13.1 g,-- g,5.6 g,7.5 g,131.0 kcal
"Fat free ice cream, no sugar added, flavors other than chocolate",68.0,0.5 cup,65.52 g,147.0 mg,4.41 g,8.82 g,0.0 g,27.94 g,129.0 kcal
"Ice cream bar, stick or nugget, with crunch coating",95.0,26.0 pieces,35.48 g,63.0 mg,2.11 g,21.05 g,25.26 g,37.12 g,358.0 kcal
"Ice cream cone, chocolate covered, with nuts, flavors other than chocolate",96.0,1.0 unit,37.43 g,63.0 mg,5.21 g,25.0 g,21.88 g,34.38 g,354.0 kcal
Ice cream cookie sandwich,82.0,1.0 serving,48.7 g,73.0 mg,3.7 g,21.3 g,7.4 g,39.6 g,240.0 kcal
Ice cream sandwich,70.0,1.0 serving,48.9 g,86.0 mg,4.29 g,18.57 g,8.57 g,37.14 g,237.0 kcal
"Ice cream sandwich, made with light ice cream, vanilla",70.0,1.0 serving,52.63 g,30.0 mg,4.29 g,17.86 g,3.04 g,39.64 g,186.0 kcal
"Ice cream sandwich, vanilla, light, no sugar added",70.0,1.0 serving,48.13 g,86.0 mg,5.71 g,6.58 g,2.86 g,42.86 g,200.0 kcal
"Ice cream, bar or stick, chocolate covered",50.0,1.0 bar,46.3 g,119.0 mg,4.1 g,18.3 g,24.1 g,24.5 g,331.0 kcal
"Ice cream, light, soft serve, chocolate",298.0,1.0 medium,68.92 g,134.0 mg,3.36 g,19.46 g,3.69 g,23.15 g,141.0 kcal
"Ice cream, soft serve, chocolate",86.0,0.5 cup,59.8 g,131.0 mg,4.1 g,21.16 g,13.0 g,22.2 g,222.0 kcal
"Imitation cheese, american or cheddar, low cholesterol",113.0,"1.0 cup, shredded",38.0 g,705.0 mg,25.0 g,-- g,32.0 g,1.0 g,390.0 kcal
KRAFT BREAKSTONE'S FREE Fat Free Sour Cream,32.0,2.0 tbsp,77.7 g,141.0 mg,4.7 g,7.2 g,1.3 g,15.1 g,91.0 kcal
KRAFT BREAKSTONE'S Reduced Fat Sour Cream,31.0,2.0 tbsp,76.2 g,161.0 mg,4.5 g,6.4 g,12.0 g,6.5 g,152.0 kcal
KRAFT CHEEZ WHIZ LIGHT Pasteurized Process Cheese Product,35.0,2.0 tbsp,51.5 g,418.0 mg,16.3 g,8.2 g,9.5 g,16.2 g,215.0 kcal
KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce,33.0,2.0 tbsp,51.5 g,359.0 mg,12.0 g,6.7 g,21.0 g,9.2 g,276.0 kcal
KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product,21.0,1.0 slice,58.0 g,712.0 mg,22.7 g,6.7 g,1.0 g,11.7 g,148.0 kcal
KRAFT VELVEETA LIGHT Reduced Fat Pasteurized Process Cheese Product,28.0,1.0 oz,51.3 g,574.0 mg,19.6 g,8.5 g,10.6 g,11.8 g,222.0 kcal
KRAFT VELVEETA Pasteurized Process Cheese Spread,28.0,1.0 oz,45.8 g,466.0 mg,16.3 g,8.1 g,22.0 g,9.8 g,303.0 kcal
"Milk dessert bar, frozen, made from lowfat milk",68.0,1.0 bar,61.43 g,184.0 mg,4.41 g,22.06 g,1.47 g,33.09 g,147.0 kcal
"Milk shakes, thick chocolate",28.4,1.0 fl oz,72.2 g,132.0 mg,3.05 g,20.85 g,2.7 g,21.15 g,119.0 kcal
"Milk shakes, thick vanilla",28.4,1.0 fl oz,74.45 g,146.0 mg,3.86 g,-- g,3.03 g,17.75 g,112.0 kcal
"Milk substitutes, fluid, with lauric acid oil",244.0,1.0 cup,88.18 g,33.0 mg,1.75 g,-- g,3.41 g,6.16 g,61.0 kcal
"Milk, buttermilk, dried",30.0,0.25 cup,2.97 g,1184.0 mg,34.3 g,-- g,5.78 g,49.0 g,387.0 kcal
"Milk, buttermilk, fluid, cultured, lowfat",245.0,1.0 cup,90.13 g,116.0 mg,3.31 g,-- g,0.88 g,4.79 g,40.0 kcal
"Milk, buttermilk, fluid, cultured, reduced fat",245.0,1.0 cup,87.7 g,143.0 mg,4.1 g,-- g,2.0 g,5.3 g,56.0 kcal
"Milk, buttermilk, fluid, whole",245.0,1.0 cup,87.91 g,115.0 mg,3.21 g,-- g,3.31 g,4.88 g,62.0 kcal
"Milk, canned, condensed, sweetened",38.2,1.0 fl oz,27.16 g,284.0 mg,7.91 g,-- g,8.7 g,54.4 g,321.0 kcal
"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",31.9,1.0 fl oz,79.4 g,290.0 mg,7.55 g,-- g,0.2 g,11.35 g,78.0 kcal
"Milk, canned, evaporated, with added vitamin A",31.5,1.0 fl oz,74.04 g,261.0 mg,6.81 g,-- g,7.56 g,10.04 g,134.0 kcal
